"Date","Mean.TemperatureC","fog","rain","snow","hail","thunder","tornado"
2015-08-26,28,0,0,0,0,0,0
2015-08-27,29,0,0,0,0,0,0
2015-08-28,30,0,0,0,0,0,0
2015-08-29,28,0,0,0,0,0,0
2015-08-30,27,0,0,0,0,0,0
2015-08-31,24,0,0,0,0,0,0
2015-09-01,23,0,0,0,0,0,0
2015-09-02,23,0,0,0,0,0,0
2015-09-03,21,0,0,0,0,0,0
2015-09-04,21,0,0,0,0,0,0
2015-09-05,21,0,0,0,0,0,0
2015-09-06,24,0,0,0,0,0,0
2015-09-07,27,0,0,0,0,0,0
2015-09-08,30,0,0,0,0,0,0
2015-09-09,32,0,1,0,0,1,0
2015-09-10,29,0,0,0,0,0,0
2015-09-11,29,0,0,0,0,0,0
2015-09-12,27,0,0,0,0,0,0
2015-09-13,27,0,0,0,0,0,0
2015-09-14,23,0,0,0,0,0,0
2015-09-15,23,0,1,0,0,0,0
2015-09-16,21,0,0,0,0,0,0
2015-09-17,21,0,0,0,0,0,0
2015-09-18,23,0,0,0,0,0,0
2015-09-19,26,0,0,0,0,0,0
2015-09-20,28,0,0,0,0,0,0
2015-09-21,24,0,0,0,0,0,0
2015-09-22,25,0,0,0,0,0,0
2015-09-23,25,0,0,0,0,0,0
2015-09-24,27,0,0,0,0,0,0
2015-09-25,27,0,0,0,0,0,0
2015-09-26,28,0,0,0,0,0,0
2015-09-27,26,0,0,0,0,0,0
2015-09-28,24,0,0,0,0,0,0
2015-09-29,23,0,0,0,0,0,0
2015-09-30,23,0,0,0,0,0,0
2015-10-01,23,0,0,0,0,0,0
2015-10-02,22,0,0,0,0,0,0
2015-10-03,21,0,0,0,0,0,0
2015-10-04,17,0,1,0,0,0,0
2015-10-05,17,0,1,0,0,1,0
2015-10-06,18,0,0,0,0,0,0
2015-10-07,21,0,0,0,0,0,0
2015-10-08,24,0,0,0,0,0,0
2015-10-09,26,0,0,0,0,0,0
2015-10-10,26,0,0,0,0,0,0
2015-10-11,26,0,0,0,0,0,0
2015-10-12,26,0,0,0,0,0,0
2015-10-13,27,0,0,0,0,0,0
2015-10-14,26,0,1,0,0,1,0
2015-10-15,23,0,1,0,0,1,0
2015-10-16,22,0,1,0,0,1,0
2015-10-17,22,0,0,0,0,0,0
2015-10-18,21,0,1,0,0,0,0
2015-10-19,18,0,0,0,0,0,0
2015-10-20,18,0,0,0,0,0,0
2015-10-21,19,0,0,0,0,0,0
